Timestamp,State Of Charge_SoC,Charging Power_kW,Charging Voltage_V,Charging Current_A,Battery Temperature_C,Vehicle Speed_kmh,Regenerative Power_kW,Energy Supplied_kWh,Motor RPM,Time Elapsed_s
20-02-2025 03:26,20,3.338,210.142,15.886,35.284,119.279,0,0.005,2704.401,0
20-02-2025 03:26,20.009,3.146,283.815,11.085,39.649,15.1,0,0.009,4809.047,5
20-02-2025 03:26,20.024,5.395,271.956,19.839,39.122,44.706,0,0.016,5966.568,10
20-02-2025 03:26,20.039,5.494,275.876,19.914,36.359,43.506,0,0.024,4185.692,15
20-02-2025 03:26,20.056,6.242,415.601,15.019,22.151,21.526,0,0.033,5659.455,20
20-02-2025 03:26,20.065,3.256,270.595,12.034,20.336,32.721,0,0.037,2824.021,25
20-02-2025 03:26,20.08,5.202,495.931,10.489,30.581,48.355,0,0.045,2000.606,30
20-02-2025 03:26,20.085,1.729,319.951,5.405,37.109,96.743,0,0.047,4957.965,35
20-02-2025 03:26,20.091,2.347,250.331,9.376,31.373,77.385,0,0.05,1976.792,40
20-02-2025 03:26,20.096,1.893,344.755,5.491,38.964,63.094,0,0.053,732.104,45
20-02-2025 03:26,20.115,6.568,228.805,28.706,35.266,95.701,0,0.062,3024.916,50
20-02-2025 03:26,20.128,4.825,384.27,12.556,20.883,37.019,0,0.069,4143.75,55
20-02-2025 03:27,20.141,4.561,489.508,9.317,34.648,12.82,0,0.075,5525.411,60
20-02-2025 03:27,20.146,1.723,336.28,5.123,32.377,24.871,0,0.077,852.98,65
20-02-2025 03:27,20.15,1.745,257.79,6.769,33.309,14.199,0,0.08,1300.918,70
20-02-2025 03:27,20.164,5.02,452.184,11.102,31.174,20.253,0,0.087,1457.727,75
20-02-2025 03:27,20.176,4.095,283.278,14.457,25.306,45.803,0,0.092,4472.37,80
20-02-2025 03:27,20.194,6.706,408.899,16.4,24.613,8.314,0,0.102,3825.452,85
20-02-2025 03:27,20.205,3.836,435.14,8.815,31.203,72.415,0,0.107,4572.163,90
20-02-2025 03:27,20.213,2.817,251.589,11.195,33.791,115.925,0,0.111,529.801,95
20-02-2025 03:27,20.231,6.687,314.41,21.267,39.347,21.919,0,0.12,2509.251,100
20-02-2025 03:27,20.249,6.509,380.642,17.099,28.675,0.078,0,0.129,2276.876,105
20-02-2025 03:27,20.265,5.466,244.644,22.342,29.404,38.964,0,0.137,303.604,110
20-02-2025 03:27,20.283,6.539,364.845,17.924,33.356,85.097,0,0.146,149.939,115
20-02-2025 03:28,20.296,4.902,284.669,17.221,31.432,55.184,0,0.153,800.399,120
20-02-2025 03:28,20.307,3.964,366.201,10.826,21.915,46.588,0,0.158,5851.97,125
20-02-2025 03:28,20.318,3.93,262.19,14.991,31.035,106.888,0,0.164,4636.821,130
20-02-2025 03:28,20.325,2.234,367.604,6.077,28.432,29.568,0,0.167,1491.926,135
20-02-2025 03:28,20.33,1.946,349.761,5.563,35.854,38.327,0,0.17,4742.933,140
20-02-2025 03:28,20.339,3.107,250.669,12.395,26.354,58.645,0,0.174,430.407,145
20-02-2025 03:28,20.342,1.069,218.801,4.885,21.667,55.626,0,0.175,5560.635,150
20-02-2025 03:28,20.354,4.371,338.533,12.912,31.625,96.419,0,0.181,4446.848,155
20-02-2025 03:28,20.364,3.679,257.923,14.266,38.65,60.53,0,0.187,47.305,160
20-02-2025 03:28,20.377,4.608,482.484,9.55,29.841,88.955,0,0.193,133.577,165
20-02-2025 03:28,20.389,4.57,334.14,13.676,34.259,97.036,0,0.199,3424.31,170
20-02-2025 03:28,20.403,4.969,459.558,10.812,26.147,6.422,0,0.206,737.345,175
20-02-2025 03:29,20.421,6.249,238.64,26.187,28.366,51.595,0,0.215,4526.61,180
20-02-2025 03:29,20.428,2.769,415.996,6.656,39.203,4.342,0,0.219,2046.687,185
20-02-2025 03:29,20.434,2.083,301.045,6.919,26.99,80.784,0,0.222,1486.098,190
20-02-2025 03:29,20.45,5.749,401.062,14.333,20.847,49.459,0,0.23,4457.262,195
20-02-2025 03:29,20.469,6.886,221.402,31.102,20.058,84.522,0,0.239,2088.842,200
20-02-2025 03:29,20.485,5.759,268.275,21.465,24.738,28.646,0,0.247,275.759,205
20-02-2025 03:29,20.49,1.905,334.207,5.7,38.376,34.447,0,0.25,2886.104,210
20-02-2025 03:29,20.494,1.242,349.065,3.559,26.855,96.512,0,0.252,4283.148,215
20-02-2025 03:29,20.497,1.043,479.342,2.176,37.515,30.922,0,0.253,4834.664,220
20-02-2025 03:29,20.502,2.033,433.772,4.686,34.99,43.613,0,0.256,2769.278,225
20-02-2025 03:29,20.512,3.591,327.368,10.97,37.007,46.787,0,0.261,4257.158,230
20-02-2025 03:29,20.524,4.026,403.475,9.977,33.189,73.06,0,0.266,2642.633,235
20-02-2025 03:30,20.541,6.397,394.733,16.207,30.617,4.752,0,0.275,3907.28,240
20-02-2025 03:30,20.561,6.967,434.193,16.045,39.986,105.247,0,0.285,5636.33,245
20-02-2025 03:30,20.565,1.475,311.359,4.737,34.123,70.193,0,0.287,5785.435,250
20-02-2025 03:30,20.584,6.83,384.335,17.772,25.832,90.8,0,0.297,4843.094,255
20-02-2025 03:30,20.597,4.633,359.3,12.895,39.965,83.553,0,0.303,2554.838,260
20-02-2025 03:30,20.603,2.403,496.003,4.844,31.135,60.259,0,0.306,5493.903,265
20-02-2025 03:30,20.61,2.457,493.28,4.982,31.101,111.498,0,0.31,3710.031,270
20-02-2025 03:30,20.624,5.046,487.74,10.346,27.635,69.515,0,0.317,2997.208,275
20-02-2025 03:30,20.628,1.207,205.338,5.877,28.901,99.48,0,0.318,2660.597,280
20-02-2025 03:30,20.646,6.648,217.513,30.564,21.351,50.704,0,0.328,2579.538,285
20-02-2025 03:30,20.66,5.014,461.567,10.864,38.991,66.24,0,0.335,302.792,290
20-02-2025 03:30,20.665,1.782,419.148,4.252,26.953,2.243,0,0.337,4204.543,295
20-02-2025 03:31,20.675,3.803,356.151,10.679,33.799,119.329,0,0.342,4233.309,300
20-02-2025 03:31,20.685,3.519,301.277,11.679,28.063,93.594,0,0.347,2466.611,305
20-02-2025 03:31,20.694,3.18,261.9,12.141,35.142,107.031,0,0.352,1160.786,310
20-02-2025 03:31,20.698,1.52,324.074,4.691,20.768,31.892,0,0.354,5472.801,315
20-02-2025 03:31,20.71,4.146,353.48,11.728,38.069,28.785,0,0.36,3987.565,320
20-02-2025 03:31,20.714,1.643,271.18,6.058,20.109,40.318,0,0.362,1056.056,325
20-02-2025 03:31,20.728,5.046,451.442,11.178,26.598,24.378,0,0.369,1865.795,330
20-02-2025 03:31,20.736,2.925,475.754,6.148,23.254,71.661,0,0.373,5310.946,335
20-02-2025 03:31,20.755,6.575,246.347,26.689,34.922,46.874,0,0.382,1865.951,340
20-02-2025 03:31,20.766,4.068,344.961,11.793,36.337,59.485,0,0.388,93.264,345
20-02-2025 03:31,20.773,2.435,209.662,11.613,24.475,27.635,0,0.391,3150.882,350
20-02-2025 03:31,20.784,4.215,218.834,19.262,37.808,29.392,0,0.397,4075.861,355
20-02-2025 03:32,20.793,3.072,288.561,10.646,26.312,53.679,0,0.401,5038.201,360
20-02-2025 03:32,20.797,1.376,200.801,6.853,21.503,25.677,0,0.403,553.856,365
20-02-2025 03:32,20.803,2.243,336.771,6.662,34.133,107.331,0,0.406,5871.435,370
20-02-2025 03:32,20.807,1.521,204.145,7.451,29.707,20.144,0,0.408,3706.626,375
20-02-2025 03:32,20.813,2.186,387.144,5.646,35.492,49.825,0,0.411,2669.961,380
20-02-2025 03:32,20.821,2.879,339.137,8.489,30.457,52.496,0,0.415,2605.768,385
20-02-2025 03:32,20.825,1.195,410.206,2.913,27.796,65.195,0,0.417,1696.672,390
20-02-2025 03:32,20.842,6.139,306.357,20.037,35.228,46.411,0,0.426,5191.673,395
20-02-2025 03:32,20.86,6.539,352.306,18.561,22.673,34.788,0,0.435,4630.363,400
20-02-2025 03:32,20.879,6.782,297.191,22.821,20.426,36.62,0,0.444,2975.073,405
